Episode,AgentReward,P1Score,P2Score,P3Score,P4Score
333,19.0,19.0,23.0,19,32.0
334,19.0,19.0,32.0,10.0,32
335,19.0,19.0,20,22.0,32.0
336,26,26,9.0,26.0,32.0
337,22.0,22.0,20,32.0,19.0
338,19.0,19.0,22.0,20,32.0
339,32.0,32.0,19.0,20,22.0
340,16,16,32.0,10.0,35.0
341,32.0,32.0,7,35.0,19.0
342,22.0,22.0,23.0,32.0,16
343,29.0,29.0,6,26.0,32.0
344,19.0,19.0,13.0,32,29.0
345,32.0,32.0,7,35.0,19.0
346,19.0,19.0,22.0,23.0,29
347,22.0,22.0,20,32.0,19.0
348,19.0,19.0,32.0,7,35.0
349,16,16,22.0,23.0,32.0
350,22.0,22.0,29,20.0,22.0
351,19.0,19.0,20,22.0,32.0
352,32.0,32.0,10.0,32,19.0
353,29.0,29.0,9.0,26.0,29
354,29.0,29.0,20.0,9,35.0
355,26,26,10.0,25.0,32.0
356,9.0,9.0,35.0,20.0,29
357,29.0,29.0,19.0,13.0,32
358,29,29,20.0,22.0,22.0
359,19.0,19.0,22.0,23.0,29
360,32.0,32.0,19.0,20,22.0
361,19.0,19.0,22.0,23.0,29
362,29.0,29.0,9.0,26.0,29
363,6,6,35.0,20.0,32.0
364,19.0,19.0,22.0,23.0,29
365,22.0,22.0,29,20.0,22.0
366,32.0,32.0,10.0,35.0,16
367,9.0,9.0,35.0,20.0,29
368,32.0,32.0,20.0,19,22.0
369,32.0,32.0,10.0,32,19.0
370,22.0,22.0,23.0,32.0,16
371,35.0,35.0,17,32.0,9.0
372,22.0,22.0,20,32.0,19.0
373,35.0,35.0,16,32.0,10.0
374,19.0,19.0,10,35.0,29.0
375,29,29,19.0,23.0,22.0
376,29.0,29.0,19.0,13.0,32
377,19.0,19.0,22.0,23.0,29
378,19.0,19.0,32.0,10.0,32
379,35.0,35.0,20.0,29,9.0
380,22.0,22.0,23.0,32.0,16
381,22.0,22.0,32.0,20.0,19
382,29,29,19.0,23.0,22.0
383,29.0,29.0,19.0,10,35.0
384,22.0,22.0,20,32.0,19.0
385,29,29,20.0,22.0,22.0
386,22.0,22.0,23.0,32.0,16
387,9.0,9.0,23,32.0,29.0
388,16,16,22.0,23.0,32.0
389,35.0,35.0,20.0,29,9.0
390,29.0,29.0,16,13.0,35.0
391,32.0,32.0,19.0,23.0,19
392,29,29,20.0,22.0,22.0
393,22.0,22.0,20,32.0,19.0
394,22.0,22.0,20,32.0,19.0
395,19.0,19.0,23.0,19,32.0
396,19.0,19.0,13.0,35.0,26
397,9.0,9.0,35.0,20.0,29
398,19.0,19.0,22.0,20,32.0
399,9.0,9.0,32,20.0,32.0
400,29.0,29.0,20.0,9,35.0
401,22.0,22.0,32.0,17,22.0
402,32.0,32.0,10.0,35.0,16
403,19.0,19.0,22.0,23.0,29
404,32,32,29.0,20.0,12.0
405,32.0,32.0,19.0,23.0,19
406,22.0,22.0,29,20.0,22.0
